명칭,주소,결과,지번,x,y,Copyright,Source
핸드앤몰트 브루랩 용산,서울 용산구 한강대로38가길 19,정좌표,생략,126.9706264,37.5298915,biz-gis.com,biz-gis.com
덤앤더머 홍대점,서울 마포구 독막로7길 48 5층 (서교동),정좌표,,126.9199681,37.5499016,biz-gis.com,biz-gis.com
사이드3,서울 영등포구 도림로 436-11 1층 (문래동3가),정좌표,,126.8948627,37.5149254,biz-gis.com,biz-gis.com
NFTBank,서울 서초구 서초대로74길 14 (서초동),정좌표,,127.0261782,37.4959337,biz-gis.com,biz-gis.com
모비데이즈,서울 강남구 역삼로8길 15 홍우빌딩 2층 (역삼동),정좌표,,127.0341875,37.493098,biz-gis.com,biz-gis.com
다희,서울 영등포구 여의대방로69길 7 (여의도동),정좌표,,126.9312625,37.5197656,biz-gis.com,biz-gis.com
런드리익스프레스 낙성대점,서울 관악구 낙성대역길 103 (봉천동),정좌표,,126.9644146,37.4742428,biz-gis.com,biz-gis.com
올드문래,서울 영등포구 도림로 433-6 1층,정좌표,,126.8942779,37.5139288,biz-gis.com,biz-gis.com
민들레처럼 홀씨둘 3호점,서울 종로구 동숭3길 33 (동숭동),정좌표,,127.0045122,37.5826045,biz-gis.com,biz-gis.com
쥬티클럽,서울 광진구 자양동 563-1 뚝섬유원지내 윈드서핑장 25호,정좌표,,127.0789622,37.5268035,biz-gis.com,biz-gis.com
